iter	Logloss
0	0.6827462719
1	0.6737120844
2	0.6642147187
3	0.6532488177
4	0.6441606091
5	0.6350316694
6	0.6267961071
7	0.6194509691
8	0.6127986293
9	0.6073336447
10	0.60162212
11	0.5956370446
12	0.5896351722
13	0.5853804927
14	0.5796666914
15	0.5746542408
16	0.5700274437
17	0.5663147588
18	0.561308707
19	0.5576922509
20	0.5535390915
21	0.5502614667
22	0.5461247352
23	0.5420981376
24	0.5385872626
25	0.5337174939
26	0.5300343421
27	0.5268546074
28	0.5227096312
29	0.5200366359
30	0.5175008466
31	0.5132847755
32	0.5102198816
33	0.5067668423
34	0.5036444203
35	0.499970713
36	0.4976437476
37	0.4948779691
38	0.4922938193
39	0.4891114081
40	0.4869361693
41	0.4850483248
42	0.4825614806
43	0.4797768747
44	0.4773223938
45	0.4739525087
46	0.4714594195
47	0.4696840778
48	0.4669537083
49	0.4645266379
50	0.4616782588
51	0.4597864459
52	0.4570395562
53	0.4552180998
54	0.4535511386
55	0.4516137031
56	0.4492678181
57	0.4477361556
58	0.4464309139
59	0.4447845644
60	0.442745701
61	0.4426232307
62	0.4410210271
63	0.4384963128
64	0.4371830725
65	0.4361675939
66	0.4341479271
67	0.4326317387
68	0.431932234
69	0.4305591583
70	0.4292532398
71	0.4268213703
72	0.4243636593
73	0.4232955748
74	0.4214733801
75	0.4202446168
76	0.4185464305
77	0.4169853272
78	0.4153454688
79	0.4143610308
80	0.4131256227
81	0.4117506704
82	0.4102293445
83	0.4085820721
84	0.4071191972
85	0.4059278119
86	0.4044540774
87	0.4030945378
88	0.4017633623
89	0.3997577544
90	0.3988372434
91	0.3972573127
92	0.3959007878
93	0.394894846
94	0.3934350783
95	0.3916446932
96	0.3904956387
97	0.389267983
98	0.3877535789
99	0.386765357
