iter	Passed	Remaining
0	1	166
1	3	147
2	4	145
3	5	138
4	6	132
5	8	130
6	9	128
7	11	127
8	12	126
9	13	124
10	15	122
11	16	120
12	17	118
13	19	116
14	20	115
15	21	113
16	22	112
17	24	110
18	25	109
19	27	108
20	28	107
21	28	102
22	30	100
23	31	100
24	33	99
25	34	98
26	35	97
27	36	93
28	37	92
29	39	91
30	40	89
31	41	88
32	43	87
33	44	86
34	46	85
35	47	84
36	48	83
37	50	82
38	51	80
39	53	79
40	54	78
41	56	77
42	57	76
43	58	75
44	60	73
45	61	72
46	62	70
47	64	69
48	65	68
49	66	66
50	68	65
51	69	64
52	70	62
53	72	61
54	73	60
55	74	58
56	76	57
57	77	56
58	78	54
59	80	53
60	81	52
61	81	50
62	83	48
63	84	47
64	85	46
65	87	44
66	88	43
67	89	42
68	91	40
69	92	39
70	93	38
71	95	37
72	97	35
73	98	34
74	99	33
75	101	31
76	102	30
77	103	29
78	104	27
79	106	26
80	107	25
81	108	23
82	110	22
83	112	21
84	113	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	122	12
91	123	10
92	125	9
93	126	8
94	128	6
95	130	5
96	131	4
97	133	2
98	134	1
99	136	0
